activating emitter
622.247 620.223 617.839 
36.5695 35.4717 35.1287 
40.9434 39.8456 39.1081 
41.1321 40.0858 39.434 
41.7839 40.8405 40.0515 
40.9263 39.9657 39.3139 
41.3722 40.3259 39.5883 
41.235 40.1715 39.4854 
41.4408 40.3602 39.6913 
41.3036 40.1544 39.5883 
41.2178 40.2058 39.9657 
40.8233 39.9142 39.7256 
41.6638 40.7376 39.9829 
40.8748 39.7942 39.1767 
41.1835 40.0343 39.4168 
41.9383 41.2865 40.6175 
43.1733 42.1098 41.4237 
42.1098 2.77874 132.607 
798.216 796.415 796.124 
42.2985 41.2865 39.9486 
42.5043 41.4065 40.7204 
42.1612 41.2007 40.7719 
41.3379 40.446 39.6227 
41.0806 40.0515 39.4168 
42.4185 41.3894 40.7204 
42.4528 41.3551 40.5489 
42.1955 41.1664 40.8748 
42.5043 41.4923 40.8233 
42.47 41.3894 41.1321 
42.0412 40.9949 40.3945 
41.7839 40.7376 40.0343 
42.0583 41.0463 40.4117 
41.9554 40.9434 40.3259 
43.3276 42.693 42.4357 
42.6072 41.4923 40.4803 
43.0532 42.3156 41.7153 
43.5849 42.5386 41.904 
43.6878 42.9846 42.2642 
42.813 42.0583 41.4408 
44.5969 43.5849 43.3619 
42.6587 42.0412 41.3208 
42.8817 41.8696 41.235 
43.3448 42.3328 41.5609 
42.7273 42.0069 41.8182 
42.2985 41.7324 41.1321 
43.2762 42.2642 41.5952 
42.8645 42.2813 41.5952 
42.9674 41.904 41.5609 
43.1561 42.1612 41.5094 
42.8645 42.2642 41.4408 
42.1441 41.3036 40.4631 
42.0412 40.9434 40.223 
42.813 41.7667 41.4923 
42.4014 41.3379 40.7033 
43.3791 42.3499 41.7153 
42.6587 41.458 40.8748 
42.6244 41.5609 40.8748 
42.6244 41.6638 40.9263 
42.6587 42.0069 41.4065 
42.5043 41.8525 41.2693 
43.3791 42.693 42.024 
42.8645 42.1269 41.5094 
43.5678 42.5729 41.9211 
42.8302 42.1784 41.4923 
42.9331 42.2985 41.6295 
43.0189 41.9726 41.3722 
42.5043 41.9211 41.3551 
41.9554 40.9263 40.1544 
40.9777 40.0172 4.08234 
28.3019 27.6501 27.0326 
41.8525 40.7719 40.0515 
42.2985 41.2865 40.446 
41.6981 40.9949 40.3945 
42.2985 41.235 40.566 
42.1441 40.3774 40.4117 
42.0926 41.0978 40.3431 
42.1098 41.0806 40.7719 
41.8868 40.8233 40.5489 
41.1664 40.1029 39.3654 
40.7204 39.657 39.0052 
41.6467 40.9949 40.3259 
42.2127 41.5609 40.8233 
42.2642 41.2865 40.6175 
42.3671 41.2865 40.5832 
42.4014 41.2865 40.566 
42.1441 41.0806 40.3602 
41.8868 40.8233 40.1544 
41.6295 40.5317 39.8799 
42.0583 41.2865 40.566 
42.0926 41.4065 40.7033 
42.3156 41.6467 41.0292 
42.813 41.8182 41.0292 
41.5437 40.5146 40.3259 
42.2642 41.6295 40.9777 
42.693 41.6638 40.9263 
42.2642 41.3036 40.5489 
43.0189 41.9726 41.3379 
43.0189 41.9554 41.7667 
42.1955 40.8748 40.223 
42.1955 41.1835 40.9263 
42.916 42.2127 41.4923 
43.8937 42.1098 41.3379 
41.9554 40.8919 40.2401 
42.9331 42.3328 41.6638 
42.5729 41.6638 41.3722 
42.0926 41.3894 41.0806 
40.9777 39.7942 39.1252 
41.4408 40.669 40 
42.8988 41.5952 40.9949 
42.4185 41.801 41.1492 
42.916 41.801 41.1492 
43.1733 42.0583 41.3894 
42.6587 41.4923 40.7719 
42.1612 41.4408 40.8233 
43.8079 42.5729 41.9726 
42.1441 41.5094 40.8233 
42.813 42.0926 41.3894 
43.7221 43.1561 42.7787 
42.6244 41.9554 41.235 
43.3962 42.3671 41.681 
43.0703 42.3499 42.1098 
42.4528 41.8525 41.1835 
43.0017 41.9554 41.235 
42.47 41.7667 41.1321 
42.3671 41.2865 40.6175 
42.916 41.9554 41.2865 
43.5335 42.47 41.8182 
42.247 41.6124 40.9263 
43.1218 42.47 41.7153 
42.3671 41.5952 40.9949 
42.3499 41.681 41.0292 
43.3276 42.7444 42.4185 
42.5043 41.801 41.2007 
43.259 42.5901 41.9726 
900.223 899.28 141.938 
42.5043 41.8182 41.0978 
43.9623 43.5678 43.2247 
44.6827 43.8937 43.4648 
44.0309 43.6364 43.2247 
44.7341 43.9451 43.9451 
44.0309 43.3105 43.259 
44.3053 43.1561 43.1733 
44.8542 44.0995 43.7393 
44.8371 44.0823 43.5849 
43.8251 43.036 43.1218 
44.9228 44.1681 44.151 
43.6021 42.8988 42.8473 
43.9794 43.5849 43.1733 
44.0652 43.7393 43.5163 
44.4254 43.2247 43.1218 
43.9623 43.5163 43.2247 
44.1338 43.7907 43.3276 
44.5626 43.7221 43.7564 
44.5798 43.8422 43.8594 
43.705 43.3276 42.916 
44.5626 44.2024 43.8079 
44.4769 43.7221 43.3276 
44.5283 44.0995 43.6878 
44.2024 43.482 43.3791 
42.6758 42.2813 41.9211 
44.5283 43.7393 43.7736 
44.8714 44.4597 44.0995 
43.0017 42.813 42.3328 
42.8988 42.5043 42.1269 
44.0652 43.3276 43.3448 
44.5626 43.8422 43.8422 
41.1149 40.3945 40.0172 
44.3225 43.5849 43.1733 
43.3448 43.0017 42.6587 
44.2539 43.8937 43.5849 
44.4254 43.6707 43.3791 
43.7564 43.3105 42.916 
44.0137 43.2762 43.2762 
44.7341 43.9451 43.6021 
45.2316 44.0995 44.0995 
44.0137 43.6364 43.3448 
44.4769 43.7393 43.7393 
45.0257 43.8765 43.8937 
44.2024 43.482 43.482 
